23,101,5,9,184,322
27,114,8,9,185,343
5,14,5,5,51,80
26,43,5,7,99,180
12,0,6,4,57,79
2,15,5,6,105,133
57,135,8,8,253,461
14,10,5,6,132,167
67,166,7,10,248,498
166,286,33,49,371,905
200,323,31,44,438,1036
3,25,2,28,110,168
113,61,20,40,160,394
54,0,30,44,82,210
3,50,13,40,198,304
203,341,35,60,497,1136
49,16,28,40,275,408
244,403,36,56,560,1299
148,365,6,21,756,1296
187,441,12,26,877,1543
8,71,5,9,313,406
156,212,7,13,514,902
110,1,9,10,295,425
4,51,8,16,501,580
253,487,11,23,946,1720
62,20,4,4,379,469
258,501,10,15,1132,1916
