45,457,10,2,854,1368
69,532,9,3,840,1453
4,32,3,4,201,244
42,121,6,2,234,405
2,6,0,2,19,29
45,457,9,2,840,1353
99,589,6,4,1270,1968
0,2,2,0,96,100
96,653,3,2,1026,1780
28,89,25,16,89,247
38,167,31,30,205,471
16,14,18,16,25,89
30,24,28,16,28,126
8,28,18,16,8,78
27,93,24,17,94,255
66,192,30,23,263,574
22,16,18,16,41,113
62,199,27,16,271,575
91,201,32,3,370,697
98,205,21,1,405,730
0,33,24,0,98,155
84,49,28,2,266,429
6,30,20,2,65,123
90,202,36,4,383,715
148,434,87,15,1205,1889
0,0,22,0,84,106
166,478,76,12,1304,2036
1340,2331,24,24,1714,5433
1832,2995,32,32,2222,7113
10,27,32,24,213,306
271,799,32,32,979,2113
33,1096,32,32,518,1711
1335,2317,32,32,1711,5427
314,695,12,16,585,1622
0,0,0,0,8,8
502,1308,26,28,1056,2920
129,325,101,59,1008,1622
174,369,82,58,1841,2524
3,14,50,3,91,161
108,86,72,36,466,768
8,22,46,20,42,138
131,325,102,59,998,1615
190,333,94,58,940,1615
5,6,50,19,317,397
189,499,93,60,1826,2667
185,352,1,0,317,855
229,472,9,0,496,1206
1,15,2,0,36,54
78,28,6,0,45,157
0,0,4,0,0,4
189,348,2,0,319,858
213,530,9,3,597,1352
0,0,4,0,52,56
236,563,10,4,486,1299
185,245,6,8,240,684
292,441,7,12,444,1196
2,6,4,4,71,87
36,6,6,2,40,90
2,0,4,2,8,16
182,240,6,8,237,673
232,414,7,8,457,1118
2,0,4,2,50,58
252,393,8,11,434,1098
659,1520,51,17,4529,6776
1027,2646,73,35,8002,11783
28,234,15,17,1058,1352
561,1105,35,13,2459,4173
43,565,34,21,894,1557
664,1516,51,17,4537,6785
1014,2154,55,23,6612,9858
5,2,8,10,609,634
847,2579,32,20,8680,12158
